date,temperature,humidity,rainfall,sunshine_hours
2023-03-12,28.4,48.0,0.0,8.3
2023-03-13,28.2,48.0,0.0,8.7
2023-03-14,28.6,51.0,0.0,3.7
2023-03-15,27.2,67.0,0.0,2.3
2023-03-16,27.7,68.0,2.0,3.0
2023-03-17,24.9,68.0,1.0,0.5
2023-03-18,27.1,57.0,0.0,4.3
2023-03-19,22.8,87.0,0.0,0.0
2023-03-20,24.2,73.0,18.0,3.3
2023-03-21,24.6,71.0,0.0,5.7
2023-03-22,26.0,67.0,0.0,9.0
2023-03-23,26.7,65.0,0.0,7.8
2023-03-24,25.3,74.0,0.0,7.5
2023-03-25,25.9,77.0,19.0,5.4
2023-03-26,27.0,70.0,2.0,6.8
2023-03-27,27.4,62.0,0.0,7.6
2023-03-28,28.4,62.0,0.0,7.3
2023-03-29,25.2,78.0,0.0,2.6
2023-03-30,26.3,70.0,4.0,6.1
2023-03-31,25.8,71.0,28.0,4.7
2023-04-01,24.4,78.0,15.0,2.7
2023-04-02,26.8,68.0,1.0,9.1
2023-04-03,28.2,54.0,0.0,9.1
2023-04-04,29.9,65.0,0.0,7.3
2023-04-05,29.5,70.0,0.0,6.4
2023-04-06,29.3,54.0,0.0,8.7
2023-04-07,29.4,50.0,0.0,9.5
2023-04-08,30.4,42.0,0.0,9.1
2023-04-09,30.8,38.0,0.0,9.2
2023-04-10,30.5,41.0,0.0,8.6
2023-04-11,31.3,41.0,0.0,8.7
2023-04-12,31.8,39.0,0.0,9.2
2023-04-13,32.7,37.0,0.0,9.1
2023-04-14,33.1,43.0,0.0,9.2
2023-04-15,34.0,50.0,0.0,6.5
2023-04-16,34.0,47.0,0.0,8.1
2023-04-17,32.4,67.0,0.0,6.0
2023-04-18,32.4,66.0,0.0,7.4
2023-04-19,32.2,68.0,0.0,8.1
2023-04-20,32.1,68.0,0.0,7.9
2023-04-21,29.8,64.0,0.0,8.9
2023-04-22,29.5,60.0,0.0,5.6
2023-04-23,26.3,62.0,1.0,0.0
2023-04-24,28.1,56.0,0.0,8.5
2023-04-25,30.2,49.0,0.0,9.5
2023-04-26,31.4,43.0,0.0,9.4
2023-04-27,28.7,59.0,0.0,8.5
2023-04-28,29.5,59.0,3.0,10.5
2023-04-29,27.9,68.0,0.0,8.4
2023-04-30,29.2,59.0,10.0,7.7
2023-05-01,28.3,61.0,2.0,4.6
2023-05-02,30.1,52.0,0.0,9.0
2023-05-03,28.1,72.0,0.0,3.8
2023-05-04,28.4,73.0,7.0,2.0
2023-05-05,29.9,67.0,1.0,8.9
2023-05-06,30.4,64.0,0.0,7.3
2023-05-07,32.5,59.0,12.0,9.6
2023-05-08,33.1,57.0,0.0,9.8
2023-05-09,33.5,46.0,0.0,7.1
2023-05-10,32.0,57.0,0.0,8.9
2023-05-11,32.0,57.0,0.0,9.4
2023-05-12,31.3,59.0,0.0,0.8
2023-05-13,31.2,60.0,0.0,0.0
2023-05-14,28.3,53.0,0.0,0.0
2023-05-15,29.6,56.0,0.0,8.8
2023-05-16,28.8,65.0,0.0,6.4
2023-05-17,26.4,71.0,3.0,4.3
2023-05-18,26.5,75.0,50.0,4.8
2023-05-19,29.6,76.0,4.0,3.1
2023-05-20,30.5,65.0,0.0,9.6
2023-05-21,29.1,74.0,0.0,5.6
2023-05-22,30.7,71.0,27.0,9.3
2023-05-23,26.7,82.0,0.0,2.7
2023-05-24,27.0,75.0,29.0,4.0
2023-05-25,29.0,72.0,0.0,4.1
2023-05-26,29.5,65.0,0.0,8.6
2023-05-27,26.6,79.0,1.0,3.5
2023-05-28,29.8,66.0,9.0,8.0
2023-05-29,31.6,59.0,0.0,8.5
2023-05-30,32.2,57.0,0.0,8.7
2023-05-31,33.7,55.0,0.0,9.1
2023-06-01,33.1,67.0,0.0,6.8
2023-06-02,32.9,65.0,0.0,8.3
2023-06-03,32.9,65.0,0.0,8.5
2023-06-04,33.1,65.0,0.0,7.3
2023-06-05,33.7,59.0,0.0,9.1
2023-06-06,33.7,63.0,0.0,6.8
2023-06-07,33.5,65.0,0.0,0.8
2023-06-08,30.0,78.0,0.0,0.0
2023-06-09,27.0,90.0,2.0,0.0
2023-06-10,28.2,84.0,47.0,0.1
2023-06-11,28.9,79.0,1.0,0.0
2023-06-12,27.0,87.0,0.0,0.0
2023-06-13,30.6,75.0,39.0,9.5
2023-06-14,32.3,73.0,0.0,5.0
2023-06-15,31.1,77.0,0.0,2.0
2023-06-16,31.0,80.0,0.0,4.4
2023-06-17,30.3,76.0,36.0,5.8
2023-06-18,28.9,86.0,42.0,0.7
2023-06-19,29.3,82.0,3.0,2.2
2023-06-20,28.6,84.0,3.0,2.0
2023-06-21,30.7,77.0,5.0,3.4
2023-06-22,29.9,77.0,0.0,0.0
2023-06-23,30.3,76.0,0.0,5.7
2023-06-24,30.2,74.0,14.0,5.4
2023-06-25,30.3,71.0,0.0,5.8
2023-06-26,28.7,79.0,1.0,1.3
2023-06-27,27.4,88.0,4.0,0.0
2023-06-28,26.1,95.0,15.0,0.0
2023-06-29,26.5,94.0,115.0,0.0
2023-06-30,27.3,91.0,36.0,2.8
2023-07-01,26.9,93.0,91.0,9.6
2023-07-02,29.2,89.0,80.0,6.9
2023-07-03,30.1,83.0,10.0,6.7
2023-07-04,31.6,71.0,2.0,3.3
2023-07-05,30.6,75.0,1.0,0.9
2023-07-06,29.2,81.0,3.0,5.0
2023-07-07,29.5,81.0,11.0,5.2
2023-07-08,30.6,74.0,11.0,9.0
2023-07-09,30.2,80.0,0.0,1.7
2023-07-10,30.3,78.0,1.0,2.5
2023-07-11,30.3,76.0,3.0,0.0
2023-07-12,30.1,76.0,0.0,0.1
2023-07-13,30.2,77.0,1.0,3.9
2023-07-14,29.9,80.0,1.0,0.4
2023-07-15,29.6,75.0,6.0,6.3
2023-07-16,28.4,84.0,1.0,8.7
2023-07-17,30.4,74.0,0.0,4.5
2023-07-18,31.7,68.0,0.0,8.5
2023-07-19,31.6,69.0,0.0,5.5
2023-07-20,31.6,68.0,0.0,0.0
2023-07-21,31.8,67.0,0.0,0.0
2023-07-22,31.8,65.0,0.0,0.6
2023-07-23,31.5,70.0,0.0,4.6
2023-07-24,32.1,65.0,0.0,3.9
2023-07-25,32.1,67.0,0.0,9.1
2023-07-26,31.2,70.0,0.0,6.9
2023-07-27,29.9,79.0,5.0,0.6
2023-07-28,30.4,78.0,4.0,0.6
2023-07-29,30.9,75.0,12.0,0.0
2023-07-30,32.5,67.0,0.0,8.7
2023-07-31,31.3,75.0,1.0,8.0
2023-08-01,31.1,70.0,5.0,5.2
2023-08-02,28.3,88.0,5.0,0.2
2023-08-03,29.0,84.0,19.0,7.1
2023-08-04,28.0,90.0,5.0,2.1
2023-08-05,29.4,81.0,55.0,5.7
2023-08-06,27.8,91.0,5.0,5.0
2023-08-07,27.4,95.0,18.0,4.2
2023-08-08,27.3,91.0,54.0,7.1
2023-08-09,28.8,84.0,7.0,4.6
2023-08-10,28.4,86.0,38.0,7.0
2023-08-11,28.8,87.0,60.0,7.0
2023-08-12,28.8,86.0,5.0,3.4
2023-08-13,27.3,93.0,56.0,6.6
2023-08-14,28.3,89.0,21.0,5.3
2023-08-15,29.5,87.0,7.0,1.1
2023-08-16,29.0,87.0,24.0,1.4
2023-08-17,31.2,73.0,46.0,2.4
2023-08-18,30.8,71.0,0.0,1.1
2023-08-19,29.8,78.0,1.0,4.0
2023-08-20,31.3,71.0,2.0,0.0
2023-08-21,31.3,70.0,0.0,0.2
2023-08-22,28.9,83.0,0.0,0.0
2023-08-23,29.4,79.0,2.0,0.8
2023-08-24,28.6,87.0,0.0,7.5
2023-08-25,28.2,86.0,18.0,6.1
2023-08-26,28.8,83.0,14.0,6.8
2023-08-27,30.0,82.0,0.0,6.5
